1536,4608,14.2,1,100,1682159,1456438,1999903,126604
2048,6144,25.2,1,100,2968524,2574975,3628531,202678
2304,6912,31.9,1,100,3842276,3286219,4582872,310851
2560,7680,39.3,1,100,4665153,4067555,5726680,354275
2816,8448,47.6,1,100,6874978,5544752,8118233,552818
3200,9600,61.4,1,100,7225868,6338858,10335876,849637
1536,4608,14.2,2,100,2003558,1511090,2370785,182765
2048,6144,25.2,2,100,1909042,1456433,2367424,215761
2304,6912,31.9,2,100,2194490,1739112,2758270,238937
2560,7680,39.3,2,100,3754636,2126929,4668269,700559
2816,8448,47.6,2,100,3404684,2746149,4380452,426685
3200,9600,61.4,2,100,4680012,3910293,5340224,381967
1536,4608,14.2,4,100,1620247,1437730,1855340,99513
2048,6144,25.2,4,100,1189314,886173,1730019,167190
2304,6912,31.9,4,100,1645963,1199007,2411609,210425
2560,7680,39.3,4,100,1944183,1596191,2455068,128073
2816,8448,47.6,4,100,2321119,1717247,3397651,278507
3200,9600,61.4,4,100,3298434,2737819,4261106,354568
1536,4608,14.2,8,100,1685533,1373933,1975490,101685
2048,6144,25.2,8,100,1147058,759741,1658310,157124
2304,6912,31.9,8,100,1539835,828311,2291349,231775
2560,7680,39.3,8,100,1858001,993293,2289695,246553
2816,8448,47.6,8,100,2210110,1361823,2575866,219171
3200,9600,61.4,8,100,2931412,1785103,3268015,297334
